name,price,url,characteristics
Грунт-эмаль аэрозольная Kudo для пластика RAL 6005 Зеленая 0.52 л,,https://order-nn.ru/kmo/catalog/5987/446473,"{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Способ нанесения': 'через форсунку баллона', 'Тип поверхности': 'пластик / ПВХ', 'Колеровка': 'готовый цвет', 'Состав,': 'полиолефиновые смолы', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'зеленый', 'Артикул': 'KU-6008', 'Время полного высыхания (ч)': '2', 'Время высыхания на отлип, (ч)': '20 минут', 'Расход (1 слой), (г/кв.м)': 'примерно 2 м.кв/баллон', 'Температура применения, (град. C)': 'не ниже +10', 'Рекомендованное количество слоев покрытия': '1-2'}"
Грунт Rust-Oleum SPECIALTY Magnetic Primer 247596 для создания магнитирующей поверхности (0.887л),,https://order-nn.ru/kmo/catalog/5984/518629,"{'Тип работ': 'внутренние работы', 'Область применения': 'для жилых и офисных помещений', 'Степень блеска поверхности': 'матовая', 'Тип поверхности': 'дерево\xa0/\xa0металл\xa0/\xa0ГКЛ', 'Колеровка': 'да', 'Состав,': 'алкидный', 'Бренд': 'Specialty', 'Страна производителя': 'СОЕДИНЕННЫЕ ШТАТЫ', 'Цвет': 'темно-серое', 'Разбавитель (растворитель)': 'уайт-спирит', 'Артикул': '247596', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '48', 'Время высыхания на отлип, (ч)': '0.5', 'Расход (1 слой), (г/кв.м)': '4,5 м2/в 1 слой', 'Температура применения, (град. C)': 'от +5', 'Рекомендованное количество слоев покрытия': '1', 'Время высыхания между слоями (ч)': '0.5'}"
Краска для деревянных фасадов ТЕКС Профи полуглянцевая (База D) 2.7 л,,https://order-nn.ru/kmo/catalog/9477/485898,"{'Степень блеска поверхности': 'полуглянцевая', 'Область применения': 'для изделий из древесины\xa0/\xa0для стен', 'Защита от плесени, грибка': 'да', 'Колеровка': 'автоматическая', 'Тип поверхности': 'дерево', 'Срок службы,': 'до 7 лет', 'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Бренд': 'ТЕКС.', 'Страна производителя': 'РОССИЯ', 'Цвет': 'бесцветный', 'Состав,': 'алкидный', 'Разбавитель (растворитель)': 'уайт-спирит', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '24', 'Рекомендованное количество слоев покрытия': '2', 'Время высыхания между слоями (ч)': '48', 'Расход (1 слой) - пиленая древесина': '6-8 кв.м/л', 'Расход (1 слой) - строганая древесина': '8-11 кв.м/л', 'Фасовка (л)': '2.7', 'Базис': 'D'}"
Краска масляная для дерева Tikkurila Teho База С полуглянцевая (2.7л),,https://order-nn.ru/kmo/catalog/9477/405236,"{'Степень блеска поверхности': 'полуглянцевая', 'Защита от плесени, грибка': 'нет', 'Колеровка': 'автоматическая', 'Тип поверхности': 'дерево', 'Тип работ': 'наружные работы', 'Бренд': 'Tikkurila', 'Страна производителя': 'ФИНЛЯНДИЯ', 'Цвет': 'база С', 'Состав,': 'алкидный\xa0/\xa0с добавлением масла', 'Разбавитель (растворитель)': 'уайт-спирит 1050\xa0/\xa0алкидный растворитель 2010\xa0/\xa0грунтовка Valtti', 'Способ нанесения': 'кисть', 'Время полного высыхания (ч)': '24', 'Рекомендованное количество слоев покрытия': '2', 'Время высыхания между слоями (ч)': '48', 'Расход (1 слой) - пиленая древесина': '7 м.кв/л', 'Расход (1 слой) - строганая древесина': '10 м.кв/л', 'Фасовка (л)': '2.7', 'Базис': 'C'}"
Краска акриловая фасадная Волна W110 супербелая - 3 кг,,https://order-nn.ru/kmo/catalog/9473/476815,"{'Степень блеска поверхности': 'матовая', 'Область применения': 'для защиты бетонных поверхностей', 'Защита от плесени, грибка': 'нет', 'Колеровка': 'ручная\xa0/\xa0готовый цвет', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0дерево\xa0/\xa0ДВП\xa0/\xa0ДСП\xa0/\xa0минеральные поверхности\xa0/\xa0оштукатуренная поверхность\xa0/\xa0ГКЛ', 'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Бренд': 'ВОЛНА', 'Страна производителя': 'РОССИЯ', 'Цвет': 'супербелый', 'Состав,': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '336', 'Расход, (кг/кв.м)': '1 кг на 6-8 кв. м', 'Рекомендованное количество слоев покрытия': '2', 'Расход (1 слой), (кв.м/л)': '6-8', 'Время высыхания между слоями (ч)': '1,5', 'Фасовка, (кг)': '3'}"
Краска TEKNOS Kirjo для листовой кровли (База PM3) 9 л,,https://order-nn.ru/kmo/catalog/9465/434990,"{'Область применения': 'для кровли', 'Степень блеска поверхности': 'полуматовая', 'Тип поверхности': 'металл', 'Колеровка': 'автоматическая', 'Состав,': 'алкидный', 'Бренд': 'TEKNOS', 'Страна производителя': 'ФИНЛЯНДИЯ', 'Цвет': 'база РМ3', 'Разбавитель (растворитель)': 'сольвент TEKNOSOLV 1621\xa0/\xa0TEKNOSOLV 9550', 'Способ нанесения': 'кисть\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '16', 'Время высыхания на отлип, (ч)': '4', 'Расход (1 слой), (г/кв.м)': '100-120', 'Температура применения, (град. C)': 'не ниже +5', 'Рекомендованное количество слоев покрытия': '2', 'Время высыхания первого слоя (ч)': '16', 'Фасовка (л)': '9', 'Базис': 'PM3'}"
"Краска фасадная Elastomeric Olsta OFLA-90, база А (9л) ",,https://order-nn.ru/kmo/catalog/9473/488104,"{'Степень блеска поверхности': 'полуматовая', 'Область применения': 'для стен', 'Защита от плесени, грибка': 'нет', 'Колеровка': 'ручная\xa0/\xa0автоматическая\xa0/\xa0готовый цвет', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0гипс', 'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Бренд': 'Olsta', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Состав,': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Артикул': 'OFLA-90', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '120', 'Рекомендованное количество слоев покрытия': '2', 'Расход (1 слой), (кв.м/л)': '12-14 м2/л', 'Время высыхания между слоями (ч)': '4-6', 'Фасовка (л)': '9', 'Базис': 'A'}"
"Краска фасадная Elastomeric, база А Olsta OFLA-27 (2.7л)",,https://order-nn.ru/kmo/catalog/9473/488103,"{'Степень блеска поверхности': 'полуматовая', 'Область применения': 'для стен', 'Защита от плесени, грибка': 'нет', 'Колеровка': 'ручная\xa0/\xa0автоматическая\xa0/\xa0готовый цвет', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0гипс', 'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Бренд': 'Olsta', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Состав,': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Артикул': 'OFLA-27', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '120', 'Рекомендованное количество слоев покрытия': '2', 'Расход (1 слой), (кв.м/л)': '12-14 м2/л', 'Время высыхания между слоями (ч)': '4-6', 'Фасовка (л)': '2.7', 'Базис': 'A'}"
Краска фасадная Olsta Exterior acrylic база A OFAA-27 - 2.7 л,3320.0,https://order-nn.ru/kmo/catalog/9473/488080,"{'Степень блеска поверхности': 'матовая', 'Область применения': 'стены снаружи помещения', 'Защита от плесени, грибка': 'нет', 'Колеровка': 'ручная\xa0/\xa0автоматическая\xa0/\xa0готовый цвет', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0гипс', 'Тип работ': 'наружные работы', 'Бренд': 'Olsta', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Состав,': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Артикул': 'OFAA-27', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '120', 'Рекомендованное количество слоев покрытия': '2', 'Расход (1 слой), (кв.м/л)': '10-12 м2/л', 'Время высыхания между слоями (ч)': '4-6', 'Фасовка (л)': '2.7', 'Базис': 'A'}"
Краска фасадная Olsta Exterior silicone база С OFSC-27 - 2.7 л,2450.0,https://order-nn.ru/kmo/catalog/9473/488073,"{'Степень блеска поверхности': 'матовая', 'Область применения': 'стены снаружи помещения', 'Защита от плесени, грибка': 'да', 'Колеровка': 'автоматическая', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0гипс', 'Тип работ': 'наружные работы', 'Бренд': 'Olsta', 'Страна производителя': 'РОССИЯ', 'Цвет': 'бесцветный', 'Состав,': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Артикул': 'OFSC-27', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '120', 'Рекомендованное количество слоев покрытия': '2', 'Расход (1 слой), (кв.м/л)': '10-12 м2/л', 'Время высыхания между слоями (ч)': '4-6', 'Фасовка (л)': '2.7', 'Базис': 'C'}"
